residence_ID,occupant_ID,amount,timestamp,status
2001,1001,7000.0,2021-01-09 13:21:04.471377,Successful
2002,1002,200.0,2021-01-10 14:22:05.471377,Successful
2003,1003,7000.0,2021-01-11 20:28:11.471377,Successful
2004,1004,200.0,2021-01-12 21:29:12.471377,Successful
2005,1005,200.0,2021-01-13 03:35:18.471377,Successful
2006,1006,7000.0,2021-01-14 09:41:24.471377,Successful
2007,1007,200.0,2021-01-15 10:42:25.471377,Successful
2008,1008,7000.0,2021-01-16 16:48:31.471377,Successful
2009,1009,200.0,2021-01-17 17:49:32.471377,Successful
2010,1010,7000.0,2021-01-18 23:55:38.471377,Successful
2011,1011,200.0,2021-01-19 00:56:39.471377,Successful
2012,1012,7000.0,2021-01-20 06:02:45.471377,Successful
2013,1013,200.0,2021-01-21 07:03:46.471377,Successful
2014,1014,7000.0,2021-01-22 13:09:52.471377,Successful
2015,1015,200.0,2021-01-23 14:10:53.471377,Successful
2016,1016,7000.0,2021-01-24 20:16:59.471377,Successful
2017,1017,200.0,2021-01-25 21:17:00.471377,Successful
2018,1018,7000.0,2021-01-26 03:23:06.471377,Successful
2019,1019,200.0,2021-01-27 04:24:07.471377,Successful
2020,1020,7000.0,2021-01-28 10:30:13.471377,Successful
2021,1021,200.0,2021-01-29 11:31:14.471377,Successful
2022,1022,7000.0,2021-01-30 17:37:20.471377,Successful
2023,1023,200.0,2021-01-31 18:38:21.471377,Successful
2024,1024,7000.0,2021-02-01 00:44:27.471377,Successful
2025,1025,200.0,2021-02-02 01:45:28.471377,Successful
2002,1002,200.0,2021-04-10 15:23:06.471377,Successful
2004,1004,200.0,2021-04-12 22:30:13.471377,Successful
2005,1005,200.0,2021-04-13 04:36:19.471377,Successful
2007,1007,200.0,2021-04-15 11:43:26.471377,Successful
2009,1009,200.0,2021-04-17 18:50:33.471377,Successful
2011,1011,200.0,2021-04-19 01:57:40.471377,Successful
2013,1013,200.0,2021-04-21 08:04:47.471377,Successful
2015,1015,200.0,2021-04-23 15:11:54.471377,Successful
2002,1002,200.0,2021-07-10 16:24:07.471377,Successful
2004,1004,200.0,2021-07-12 23:31:14.471377,Successful
2005,1005,200.0,2021-07-13 05:37:20.471377,Successful
2007,1007,200.0,2021-07-15 12:44:27.471377,Successful
2009,1009,200.0,2021-07-17 19:51:34.471377,Successful
2011,1011,200.0,2021-07-19 02:58:41.471377,Successful
2013,1013,200.0,2021-07-21 09:05:48.471377,Successful
2015,1015,200.0,2021-07-23 16:12:55.471377,Successful
2002,1002,200.0,2021-10-10 17:25:08.471377,Successful
2004,1004,200.0,2021-10-12 00:32:15.471377,Successful
2005,1005,200.0,2021-10-13 06:38:21.471377,Successful
2007,1007,200.0,2021-10-15 13:45:28.471377,Successful
2009,1009,200.0,2021-10-17 20:52:35.471377,Successful
2011,1011,200.0,2021-10-19 03:59:42.471377,Successful
2013,1013,200.0,2021-10-21 10:06:49.471377,Successful
2015,1015,200.0,2021-10-23 17:13:56.471377,Successful
2002,1002,200.0,2022-01-10 18:26:09.471377,Successful
2004,1004,200.0,2022-01-12 01:33:16.471377,Successful
2005,1005,200.0,2022-01-13 07:39:22.471377,Successful
2007,1007,200.0,2022-01-15 14:46:29.471377,Successful
2009,1009,200.0,2022-01-17 21:53:36.471377,Successful
2011,1011,200.0,2022-01-19 04:00:43.471377,Successful
2013,1013,200.0,2022-01-21 11:07:50.471377,Successful
2015,1015,200.0,2022-01-23 18:14:57.471377,Successful
2002,1002,200.0,2022-04-10 19:27:10.471377,Successful
2004,1004,200.0,2022-04-12 02:34:17.471377,Successful
2005,1005,200.0,2022-04-13 08:40:23.471377,Successful
2007,1007,200.0,2022-04-15 15:47:30.471377,Successful
2009,1009,200.0,2022-04-17 22:54:37.471377,Successful
2011,1011,200.0,2022-04-19 05:01:44.471377,Successful
2013,1013,200.0,2022-04-21 12:08:51.471377,Successful
2015,1015,200.0,2022-04-23 19:15:58.471377,Successful
2007,1007,200.0,2022-04-25 15:47:30.471377,Successful
2009,1009,200.0,2022-04-27 22:54:37.471377,Successful
2011,1011,200.0,2022-04-29 05:01:44.471377,Successful
2013,1013,200.0,2022-04-21 12:08:51.471377,Successful
2015,1015,200.0,2022-04-23 19:15:58.471377,Successful
2007,1007,200.0,2022-04-25 15:47:30.471377,Successful
2009,1009,200.0,2022-04-27 22:54:37.471377,Successful
2011,1011,200.0,2022-04-29 05:01:44.471377,Successful
2013,1013,200.0,2022-04-21 12:08:51.471377,Successful
2015,1015,200.0,2022-04-23 19:15:58.471377,Successful
2007,1007,200.0,2022-04-25 15:47:30.471377,Successful
2009,1009,200.0,2022-04-27 22:54:37.471377,Successful
2011,1011,200.0,2022-04-29 05:01:44.471377,Successful
2013,1013,200.0,2022-04-21 12:08:51.471377,Successful
2015,1015,200.0,2022-04-23 19:15:58.471377,Successful
2007,1007,200.0,2022-04-25 15:47:30.471377,Successful
2009,1009,200.0,2022-04-27 22:54:37.471377,Successful
2011,1011,200.0,2022-04-29 05:01:44.471377,Successful
2013,1013,200.0,2022-04-21 12:08:51.471377,Successful
2015,1015,200.0,2022-04-23 19:15:58.471377,Successful
2007,1007,200.0,2022-04-25 15:47:30.471377,Successful
2009,1009,200.0,2022-04-27 22:54:37.471377,Successful
2011,1011,200.0,2022-04-29 05:01:44.471377,Successful
2013,1013,200.0,2022-04-21 12:08:51.471377,Successful
2015,1015,200.0,2022-04-23 19:15:58.471377,Successful
2007,1007,200.0,2022-04-25 15:47:30.471377,Successful
2002,1002,200.0,2024-01-11 13:14:27.279214,Successful
2002,1002,212.0,2024-01-11 13:42:56.038090,Successful
2002,1002,200.0,2024-01-15 00:05:01.849724,Successful
